Product Name,Price,Rating
Fashion 2 Pcs Stylish His And Hers Heart Pendant English Letters Couples Love Necklaces,KSh 163,None
3 Pack Hard Khakis; Black Maroon And Chocolate,"KSh 2,839 - KSh 2,999",None
USB Extension/Extender Cable,KSh 190 - KSh 950,None
GT20 Silver Smart Watch Men Women Health Watch for Ios Android,"KSh 1,598",None
"Mika MTS2204 2 Slice Toaster, 720-850W - Black","KSh 3,995",None
Curtains 1PC  BLUE,"KSh 1,240 - KSh 2,499",None
"Stainless Steel Insulated Lunch Box, Home/car Portable Lunch Box","KSh 2,298",None
"14INCH 30 watt RIGHTLIGHT NEW TOUCH TECHNOLOGY with FREE MICROPHONE rapel, 2MTripod, BL BAG, and a MINI TRIPOD 2","KSh 6,499",None
Wall Mounted Single Layer Soap Dish Holder,KSh 499,None
Fashion Bluetooth Smartwatch Touch SBracelet Fitness,KSh 663,None
Rectangular Mosquito-Square Net,KSh 689,None
Fashion 4 PACK LADIES SEAMLESS silk UNDERWEAR/PANTIES,KSh 355,None
14-43 WALL BRACKET+TV GUARD,KSh 870,None
Fashion 4 In 1 Men's Milk Silk Briefs,KSh 520,None
Fashion 3PCs Fine Too Pure Cotton Gstring Women Panties Ladies Thong Panty(Hips 36-42inc),KSh 799,None
2.5L 1500W Electric Kettle Food Grade Stainless Steel - Gold,"KSh 1,690",None
Fashion School Shoulder Bag Printed Oxford Cloth Leisure Sports Backpack Outdoor Hiking Backpack Portable Backpack,"KSh 1,100",None
Defacto Woman Standart Fit Knitted Short - Orange,KSh 728,None
Sticky Glue Pest Insects Ribbon Fly Catcher Traps,KSh 285 - KSh 685,None
Ring Light  12 Inch+2M Stand+phone Holder,"KSh 1,800",None
Fashion PRO COMBAT COMPRESSION LEGGINGS/TIGHTS,"KSh 1,150 - KSh 1,200",None
Annov  7-Speed Portable Hand Mixer With Bowl,KSh 899,None
Fashion Valentine's Special Gift,"KSh 1,300",None
12pcs Spoons & Forks - Silver,KSh 475,None
